"DATA","SUSCETIVEIS_CENARIO_3","CUM_RECUPERADOS_CENARIO_3","EXPOSTOS_CENARIO_3","INFECTANTES_CENARIO_3","CUM_OBITOS_CENARIO_3","SUSCETIVEIS_CENARIO_1","CUM_RECUPERADOS_CENARIO_1","EXPOSTOS_CENARIO_1","INFECTANTES_CENARIO_1","CUM_OBITOS_CENARIO_1","SUSCETIVEIS_CENARIO_2","CUM_RECUPERADOS_CENARIO_2","EXPOSTOS_CENARIO_2","INFECTANTES_CENARIO_2","CUM_OBITOS_CENARIO_2"
2020-05-11,500082,774,14,96,7,500082,774,14,96,7,500082,774,14,96,7
2020-05-12,500058,775,25,108,7,500058,775,25,108,7,500058,775,25,108,7
2020-05-13,500018,779,43,126,7,500018,779,43,126,7,500018,779,43,126,7
2020-05-14,499999,789,50,128,7,499999,789,50,128,7,499999,789,50,128,7
2020-05-15,499962,810,51,143,7,499962,810,51,143,7,499962,810,51,143,7
2020-05-16,499966,820,35,145,7,499966,820,35,145,7,499966,820,35,145,7
2020-05-17,499973,824,28,141,7,499973,824,28,141,7,499973,824,28,141,7
2020-05-18,499964,838,28,136,7,499964,838,28,136,7,499964,838,28,136,7
2020-05-19,499936,842,42,146,7,499936,842,42,146,7,499936,842,42,146,7
2020-05-20,499904,846,55,161,7,499904,846,55,161,7,499904,846,55,161,7
2020-05-21,499900,852,53,161,7,499900,852,53,161,7,499900,852,53,161,7
2020-05-22,499881,867,47,171,7,499881,867,47,171,7,499881,867,47,171,7
2020-05-23,499862,889,38,177,7,499862,889,38,177,7,499862,889,38,177,7
2020-05-24,499837,902,40,187,7,499837,902,40,187,7,499837,902,40,187,7
2020-05-25,499810,918,46,192,7,499810,918,46,192,7,499810,918,46,192,7
2020-05-26,499794,924,57,191,7,499794,924,57,191,7,499794,924,57,191,7
2020-05-27,499769,930,65,202,7,499769,930,65,202,7,499769,930,65,202,7
2020-05-28,499729,946,75,216,7,499729,946,75,216,7,499729,946,75,216,7
2020-05-29,499696,966,74,230,7,499696,966,74,230,7,499696,966,74,230,7
2020-05-30,499667,985,70,244,7,499667,985,70,244,7,499667,985,70,244,7
2020-05-31,499655,999,62,250,7,499655,999,62,250,7,499655,999,62,250,7
2020-06-01,499609,1013,78,266,7,499609,1013,78,266,7,499609,1013,78,266,7
2020-06-02,499566,1023,94,283,7,499566,1023,94,283,7,499566,1023,94,283,7
2020-06-03,499500,1039,115,312,7,499500,1039,115,312,7,499500,1039,115,312,7
2020-06-04,499426,1059,131,350,7,499426,1059,131,350,7,499426,1059,131,350,7
2020-06-05,499315,1079,163,408,8,499315,1079,163,408,8,499315,1079,163,408,8
2020-06-06,499272,1103,159,431,8,499272,1103,159,431,8,499272,1103,159,431,8
2020-06-07,499262,1133,133,437,8,499262,1133,133,437,8,499262,1133,133,437,8
2020-06-08,499221,1153,120,471,8,499221,1153,120,471,8,499221,1153,120,471,8
2020-06-09,499162,1173,132,498,8,499162,1173,132,498,8,499162,1173,132,498,8
2020-06-10,499084,1194,162,524,9,499084,1194,162,524,9,499084,1194,162,524,9
2020-06-11,499071,1230,133,530,9,499071,1230,133,530,9,499071,1230,133,530,9
2020-06-12,498974,1265,148,576,10,498974,1265,148,576,10,498974,1265,148,576,10
2020-06-13,498937,1308,128,590,10,498937,1308,128,590,10,498937,1308,128,590,10
2020-06-14,498835,1360,158,610,10,498835,1360,158,610,10,498835,1360,158,610,10
2020-06-15,498709,1428,172,654,10,498709,1428,172,654,10,498709,1428,172,654,10
2020-06-16,498553,1466,234,709,11,498553,1466,234,709,11,498553,1466,234,709,11
2020-06-17,498467,1492,262,741,11,498467,1492,262,741,11,498467,1492,262,741,11
2020-06-18,498392,1546,266,757,12,498392,1546,266,757,12,498392,1546,266,757,12
2020-06-19,498246,1597,284,834,12,498246,1597,284,834,12,498246,1597,284,834,12
2020-06-20,498060,1652,320,928,13,498060,1652,320,928,13,498060,1652,320,928,13
2020-06-21,497957,1678,344,981,13,497957,1678,344,981,13,497957,1678,344,981,13
2020-06-22,497760,1742,377,1079,15,497760,1742,377,1079,15,497760,1742,377,1079,15
2020-06-23,497668,1778,373,1139,15,497668,1778,373,1139,15,497668,1778,373,1139,15
2020-06-24,497466,1834,405,1253,15,497466,1834,405,1253,15,497466,1834,405,1253,15
2020-06-25,497349,1914,382,1313,15,497349,1914,382,1313,15,497349,1914,382,1313,15
2020-06-26,497151,2012,392,1403,15,497151,2012,392,1403,15,497151,2012,392,1403,15
2020-06-27,497043,2096,362,1457,15,497043,2096,362,1457,15,497043,2096,362,1457,15
2020-06-28,496969,2179,334,1475,16,496969,2179,334,1475,16,496969,2179,334,1475,16
2020-06-29,496761,2294,366,1535,17,496761,2294,366,1535,17,496761,2294,366,1535,17
2020-06-30,496539,2414,404,1599,17,496539,2414,404,1599,17,496539,2414,404,1599,17
2020-07-01,496235,2521,495,1704,18,496235,2521,495,1704,18,496235,2521,495,1704,18
2020-07-02,496072,2666,481,1732,22,496072,2666,481,1732,22,496072,2666,481,1732,22
2020-07-03,495840,2781,525,1804,23,495840,2781,525,1804,23,495840,2781,525,1804,23
2020-07-04,495725,2920,472,1832,24,495725,2920,472,1832,24,495725,2920,472,1832,24
2020-07-05,495548,3044,500,1855,26,495548,3044,500,1855,26,495548,3044,500,1855,26
2020-07-06,495142,3170,602,2033,26,495142,3170,602,2033,26,495142,3170,602,2033,26
2020-07-07,494792,3278,724,2151,28,494792,3278,724,2151,28,494792,3278,724,2151,28
2020-07-08,494504,3376,796,2269,28,494504,3376,796,2269,28,494504,3376,796,2269,28
2020-07-09,494320,3532,725,2366,30,494320,3532,725,2366,30,494320,3532,725,2366,30
2020-07-10,493948,3679,763,2552,31,493948,3679,763,2552,31,493948,3679,763,2552,31
2020-07-11,493695,3868,722,2657,31,493695,3868,722,2657,31,493695,3868,722,2657,31
2020-07-12,493544,4008,693,2693,35,493544,4008,693,2693,35,493544,4008,693,2693,35
2020-07-13,493108,4199,741,2889,36,493108,4199,741,2889,36,493108,4199,741,2889,36
2020-07-14,492768,4334,836,2998,37,492768,4334,836,2998,37,492768,4334,836,2998,37
2020-07-15,492368,4506,925,3137,37,492368,4506,925,3137,37,492368,4506,925,3137,37
2020-07-16,492114,4799,829,3193,38,492114,4799,829,3193,38,492114,4799,829,3193,38
2020-07-17,491710,5055,821,3347,40,491710,5055,821,3347,40,491710,5055,821,3347,40
2020-07-18,491387,5298,805,3442,41,491387,5298,805,3442,41,491387,5298,805,3442,41
2020-07-19,491258,5521,781,3372,41,491258,5521,781,3372,41,491258,5521,781,3372,41
2020-07-20,490698,5817,897,3520,41,490698,5817,897,3520,41,490698,5817,897,3520,41
2020-07-21,490384,6017,941,3587,44,490384,6017,941,3587,44,490384,6017,941,3587,44
2020-07-22,490153,6211,959,3606,44,490153,6211,959,3606,44,490153,6211,959,3606,44
2020-07-23,490057,6552,780,3537,47,490057,6552,780,3537,47,490057,6552,780,3537,47
2020-07-24,489753,6847,729,3594,50,489753,6847,729,3594,50,489753,6847,729,3594,50
2020-07-25,489526,7127,677,3590,53,489526,7127,677,3590,53,489526,7127,677,3590,53
2020-07-26,489549,7371,600,3396,57,489549,7371,600,3396,57,489549,7371,600,3396,57
2020-07-27,489345,7659,576,3334,59,489345,7659,576,3334,59,489345,7659,576,3334,59
2020-07-28,489167,7925,578,3243,60,489167,7925,578,3243,60,489167,7925,578,3243,60
2020-07-29,489031,8148,583,3150,61,489031,8148,583,3150,61,489031,8148,583,3150,61
2020-07-30,488731,8550,557,3070,65,488731,8550,557,3070,65,488731,8550,557,3070,65
2020-07-31,488439,8858,585,3023,68,488439,8858,585,3023,68,488439,8858,585,3023,68
2020-08-01,488136,9098,650,3019,70,488136,9098,650,3019,70,488136,9098,650,3019,70
2020-08-02,488273,9323,566,2739,72,488273,9323,566,2739,72,488273,9323,566,2739,72
2020-08-03,488170,9581,533,2615,74,488170,9581,533,2615,74,488170,9581,533,2615,74
2020-08-04,488058,9768,505,2565,77,488058,9768,505,2565,77,488058,9768,505,2565,77
2020-08-05,487921,9915,549,2508,80,487921,9915,549,2508,80,487921,9915,549,2508,80
2020-08-06,487848,10151,504,2390,80,487848,10151,504,2390,80,487848,10151,504,2390,80
2020-08-07,487742,10343,460,2348,80,487742,10343,460,2348,80,487742,10343,460,2348,80
