"INICIO_SINTOMAS","TERRITORIO","CASOS"
2020-04-24,"cs_santo_antonio_de_lisboa",4
2020-04-25,"cs_abraao",4
2020-04-25,"cs_agronomica",12
2020-04-25,"cs_campeche",4
2020-04-25,"cs_centro",4
2020-04-25,"cs_jurere",4
2020-04-25,"cs_ponta_das_canas",4
2020-04-26,"cs_centro",4
2020-04-26,"cs_coqueiros",4
2020-04-26,"cs_jardim_atlantico",4
2020-04-26,"cs_jurere",4
2020-04-26,"cs_monte_serrat",4
2020-04-26,"cs_prainha",4
2020-04-27,"cs_canasvieiras",4
2020-04-27,"cs_centro",12
2020-04-27,"cs_costeira_do_pirajubae",4
2020-04-27,"cs_itacorubi",4
2020-04-27,"cs_jurere",4
2020-04-28,"cs_agronomica",4
2020-04-28,"cs_armacao",4
2020-04-28,"cs_cachoeira_do_bom_jesus",4
2020-04-28,"cs_canto_da_lagoa",4
2020-04-28,"cs_coloninha",4
2020-04-28,"cs_ingleses",8
2020-04-28,"cs_lagoa_da_conceicao",4
2020-04-28,"cs_pantano_do_sul",4
2020-04-28,"cs_prainha",4
2020-04-29,"cs_agronomica",4
2020-04-29,"cs_centro",4
2020-04-29,"cs_rio_tavares",4
2020-04-30,"cs_abraao",4
2020-04-30,"cs_balneario",4
2020-04-30,"cs_trindade",4
2020-04-30,"cs_vargem_grande",4
2020-05-01,"cs_barra_da_lagoa",4
2020-05-01,"cs_canasvieiras",4
2020-05-01,"cs_centro",4
2020-05-01,"cs_itacorubi",4
2020-05-01,"cs_novo_continente",4
2020-05-01,"cs_pantanal",4
2020-05-01,"cs_saco_grande",4
2020-05-01,"cs_santinho",8
2020-05-01,"cs_santo_antonio_de_lisboa",4
2020-05-01,"cs_trindade",1
2020-05-02,"cs_centro",4
2020-05-03,"cs_canto_da_lagoa",8
2020-05-03,"cs_centro",4
2020-05-03,"cs_costeira_do_pirajubae",4
2020-05-04,"cs_agronomica",4
2020-05-04,"cs_balneario",4
2020-05-04,"cs_centro",4
2020-05-04,"cs_corrego_grande",4
2020-05-04,"cs_costeira_do_pirajubae",8
2020-05-04,"cs_fazenda_do_rio_tavares",4
2020-05-04,"cs_monte_serrat",4
2020-05-04,"cs_saco_dos_limoes",4
2020-05-04,"cs_saco_grande",4
2020-05-05,"cs_agronomica",16
2020-05-05,"cs_canasvieiras",4
2020-05-05,"cs_capoeiras",8
2020-05-05,"cs_centro",4
2020-05-05,"cs_coloninha",4
2020-05-05,"cs_corrego_grande",4
2020-05-05,"cs_joao_paulo",4
2020-05-05,"cs_monte_cristo",4
2020-05-05,"cs_monte_serrat",16
2020-05-05,"cs_novo_continente",8
2020-05-05,"cs_pantanal",4
2020-05-05,"cs_ponta_das_canas",4
2020-05-05,"cs_sape",4
2020-05-06,"cs_centro",4
2020-05-06,"cs_costeira_do_pirajubae",16
2020-05-06,"cs_itacorubi",4
2020-05-06,"cs_prainha",4
2020-05-06,"cs_santo_antonio_de_lisboa",4
2020-05-06,"cs_trindade",4
2020-05-07,"cs_balneario",4
2020-05-07,"cs_canto_da_lagoa",4
2020-05-07,"cs_costeira_do_pirajubae",4
2020-05-07,"cs_fazenda_do_rio_tavares",4
2020-05-08,"cs_agronomica",8
2020-05-08,"cs_carianos",4
2020-05-08,"cs_centro",8
2020-05-08,"cs_ingleses",8
2020-05-08,"cs_itacorubi",4
2020-05-08,"cs_monte_cristo",8
2020-05-08,"cs_monte_serrat",8
2020-05-08,"cs_prainha",1
2020-05-08,"cs_saco_grande",4
2020-05-09,"cs_agronomica",4
2020-05-09,"cs_centro",0
2020-05-09,"cs_corrego_grande",4
2020-05-09,"cs_novo_continente",4
2020-05-09,"cs_pantanal",4
2020-05-10,"cs_campeche",4
2020-05-10,"cs_coloninha",4
2020-05-10,"cs_novo_continente",4
2020-05-10,"cs_saco_grande",4
2020-05-11,"cs_carianos",4
2020-05-11,"cs_centro",4
2020-05-11,"cs_fazenda_do_rio_tavares",4
2020-05-11,"cs_itacorubi",4
2020-05-11,"cs_jurere",4
2020-05-12,"cs_agronomica",4
2020-05-12,"cs_cachoeira_do_bom_jesus",4
2020-05-12,"cs_centro",4
2020-05-12,"cs_corrego_grande",4
2020-05-12,"cs_jurere",4
2020-05-12,"cs_monte_serrat",4
2020-05-12,"cs_novo_continente",8
2020-05-12,"cs_ponta_das_canas",4
2020-05-12,"cs_prainha",12
2020-05-12,"cs_saco_grande",8
2020-05-12,"cs_trindade",4
2020-05-13,"cs_abraao",4
2020-05-13,"cs_agronomica",8
2020-05-13,"cs_centro",18
2020-05-13,"cs_coqueiros",4
2020-05-13,"cs_costeira_do_pirajubae",4
2020-05-13,"cs_fazenda_do_rio_tavares",4
2020-05-13,"cs_ingleses",4
2020-05-13,"cs_jardim_atlantico",4
2020-05-13,"cs_jurere",4
2020-05-13,"cs_monte_cristo",4
2020-05-13,"cs_novo_continente",6
2020-05-13,"cs_rio_tavares",4
2020-05-13,"cs_saco_grande",8
2020-05-13,"cs_tapera",8
2020-05-14,"cs_agronomica",8
2020-05-14,"cs_balneario",4
2020-05-14,"cs_centro",14
2020-05-14,"cs_coqueiros",4
2020-05-14,"cs_prainha",4
2020-05-14,"cs_saco_grande",4
2020-05-14,"cs_trindade",6
2020-05-14,"cs_vila_aparecida",4
2020-05-15,"cs_alto_ribeirao",4
2020-05-15,"cs_campeche",8
2020-05-15,"cs_centro",16
2020-05-15,"cs_corrego_grande",4
2020-05-15,"cs_costeira_do_pirajubae",4
2020-05-15,"cs_itacorubi",4
2020-05-15,"cs_jurere",4
2020-05-15,"cs_lagoa_da_conceicao",8
2020-05-15,"cs_monte_serrat",4
2020-05-15,"cs_novo_continente",4
2020-05-15,"cs_rio_vermelho",4
2020-05-16,"cs_centro",1
2020-05-16,"cs_estreito",4
2020-05-16,"cs_lagoa_da_conceicao",4
2020-05-16,"cs_monte_cristo",4
2020-05-16,"cs_trindade",8
2020-05-17,"cs_campeche",4
2020-05-17,"cs_centro",4
2020-05-17,"cs_estreito",4
2020-05-17,"cs_itacorubi",4
2020-05-17,"cs_monte_serrat",4
2020-05-17,"cs_saco_grande",4
2020-05-18,"cs_agronomica",4
2020-05-18,"cs_centro",4
2020-05-18,"cs_corrego_grande",8
2020-05-18,"cs_costeira_do_pirajubae",4
2020-05-18,"cs_estreito",4
2020-05-18,"cs_fazenda_do_rio_tavares",4
2020-05-18,"cs_itacorubi",4
2020-05-18,"cs_monte_cristo",10
2020-05-18,"cs_monte_serrat",4
2020-05-18,"cs_prainha",1
2020-05-18,"cs_tapera",4
2020-05-18,"cs_trindade",4
2020-05-19,"cs_agronomica",8
2020-05-19,"cs_campeche",4
2020-05-19,"cs_capoeiras",12
2020-05-19,"cs_centro",4
2020-05-19,"cs_coqueiros",4
2020-05-19,"cs_ingleses",12
2020-05-19,"cs_itacorubi",4
2020-05-19,"cs_monte_cristo",8
2020-05-19,"cs_novo_continente",4
2020-05-19,"cs_pantanal",4
2020-05-19,"cs_rio_tavares",4
2020-05-19,"cs_saco_grande",4
2020-05-19,"cs_tapera",4
2020-05-19,"cs_trindade",4
2020-05-20,"cs_abraao",4
2020-05-20,"cs_agronomica",8
2020-05-20,"cs_balneario",8
2020-05-20,"cs_carianos",4
2020-05-20,"cs_centro",10
2020-05-20,"cs_estreito",4
2020-05-20,"cs_ingleses",4
2020-05-20,"cs_joao_paulo",8
2020-05-20,"cs_monte_cristo",4
2020-05-20,"cs_monte_serrat",4
2020-05-20,"cs_rio_tavares",4
2020-05-20,"cs_saco_grande",4
2020-05-20,"cs_trindade",4
2020-05-21,"cs_canasvieiras",8
2020-05-21,"cs_capoeiras",12
2020-05-21,"cs_centro",10
2020-05-21,"cs_coqueiros",4
2020-05-21,"cs_monte_cristo",8
2020-05-21,"cs_ponta_das_canas",4
2020-05-21,"cs_saco_dos_limoes",4
2020-05-21,"cs_santinho",4
2020-05-21,"cs_trindade",1
2020-05-22,"cs_agronomica",8
2020-05-22,"cs_canto_da_lagoa",4
2020-05-22,"cs_centro",6
2020-05-22,"cs_coloninha",4
2020-05-22,"cs_coqueiros",4
2020-05-22,"cs_corrego_grande",8
2020-05-22,"cs_estreito",4
2020-05-22,"cs_monte_cristo",8
