"DATA","SUSCETIVEIS_CENARIO_3","CUM_RECUPERADOS_CENARIO_3","EXPOSTOS_CENARIO_3","INFECTANTES_CENARIO_3","CUM_OBITOS_CENARIO_3","LEITOS_UTI_CENARIO_3","SUSCETIVEIS_CENARIO_1","CUM_RECUPERADOS_CENARIO_1","EXPOSTOS_CENARIO_1","INFECTANTES_CENARIO_1","CUM_OBITOS_CENARIO_1","LEITOS_UTI_CENARIO_1","SUSCETIVEIS_CENARIO_2","CUM_RECUPERADOS_CENARIO_2","EXPOSTOS_CENARIO_2","INFECTANTES_CENARIO_2","CUM_OBITOS_CENARIO_2","LEITOS_UTI_CENARIO_2"
2020-07-22,493546.101643174,5172.19012577634,376.053111805549,1841.3060121554,43.6508531387745,22.7539712079462,493607.344817632,5170.82985995302,337.091840407384,1820.38402430917,43.650370579773,22.7421102557785,493577.425931672,5171.49526884752,356.116512237471,1830.61300110788,43.6506067088294,22.747912218107
2020-07-23,493350.983973264,5340.11668082984,381.70802109109,1864.04667981043,45.3097635832713,21.4460171834045,493445.385190413,5336.0192442658,331.921171623719,1823.52819224542,45.3076213765913,21.4114828686356,493399.360896112,5338.02187893133,356.16198372999,1843.30980090052,45.3086689472067,21.4283606490982
2020-07-24,493153.51417026,5510.05428226959,386.991474681549,1887.43344518085,46.8772232764639,20.3153509246728,493283.306280367,5501.31573789968,328.870343083698,1824.49663458008,46.8711997601466,20.2442218638832,493220.175636789,5505.58202655746,357.067481656472,1855.16598939999,46.8741430330252,20.2789438037484
2020-07-25,492953.637799682,5682.06106543522,392.09162228203,1911.28354507843,48.3657395730206,19.34083554014,493121.255039481,5666.57890582702,326.993359226675,1824.23715211992,48.3525599451924,19.2191622503807,493039.932499446,5674.1276557882,358.447171452864,1866.56180463119,48.3589938908041,19.2784737669695
2020-07-26,492751.314957593,5856.1817569453,397.11152891595,1935.49709392781,49.7863261586441,18.5037980175952,492959.314712982,5831.73162800999,325.764915273226,1823.27618061667,49.7616889102404,18.3182732763889,492858.666073439,5843.63535919839,360.088146373861,1877.7065870732,49.7737032967382,18.4085635121954
2020-07-27,492546.513710208,6032.45339485066,402.107643266722,1960.019583294,51.148678706209,17.7877781463466,492797.533168736,5996.73163250727,324.893314478251,1821.90616374789,51.1073166080725,17.5260283382696,492676.395685028,6014.09494641019,361.872881161666,1888.71540441845,51.1274629115585,17.6531856019731
2020-07-28,492339.206504548,6210.90850415557,407.110869895732,1984.82133757225,52.4613319040233,17.1782859750182,492635.938624107,6161.55572620785,324.216585081698,1820.2896024729,52.3970864983898,16.8289621905195,492493.13228682,6185.5031796144,363.736461049258,1899.6513166615,52.4283381471512,16.9983296749066
2020-07-29,492129.368206232,6391.57687287044,412.138112475392,2009.88625822169,53.7317988823202,16.6625767159466,492474.548376745,6326.19107195998,323.644794869854,1818.51683569095,53.6376975025705,16.2153434656702,492308.882257242,6357.86035409073,365.642990599013,1910.5486895681,53.6834089640064,16.4317264760457
2020-07-30,491916.97502842,6574.48655657656,417.198597219979,2035.20565639399,54.966694499786,16.2294464242482,492313.373651557,6490.63037457051,323.128018115044,1816.63812776783,54.8350243405524,15.6749211527433,492123.649496141,6531.16844359888,367.572581189838,1921.42605479007,54.8988918117977,15.9426191800076
2020-07-31,491702.003948912,6759.66445609818,422.297336916924,2060.77487314023,56.1718440811697,15.8690489103486,492152.422291543,6654.86923388706,322.638546987415,1814.68148824438,55.994220814084,15.1987208641471,491937.436580827,6705.43010507896,369.514173324092,1932.29320394804,56.0802457824809,15.5215701004576
2020-08-01,491484.432394672,6947.13665756876,427.437028534621,2086.59142678255,57.3523791717046,15.572732938919,491991.700251623,6818.90469815478,322.161012954357,1812.66256819437,57.1198091851266,14.7788764084233,491750.24540398,6880.64815394682,371.461577310583,1943.155102103,57.2322653241503,15.1602950871961
2020-08-02,491264.238072912,7136.92863903586,432.619092691965,2112.65399696125,58.512821775779,15.332898142785,491831.212427901,6982.73448113562,321.686900723104,1810.59015639614,58.2157579374457,14.4084876948178,491562.077525834,7056.82529598053,373.411289192806,1954.0140467165,58.359161386409,14.8515203705649
2020-08-03,491041.398882534,7329.06540105104,437.844242996461,2138.96186707578,59.6571584192828,15.1428678663482,491670.96311797,7146.35654538185,321.211501493902,1808.46923182597,59.2855496658062,14.0814991679806,491372.934368784,7233.963998113,375.361285924206,1964.87085874816,59.4646325346255,14.58885808985
2020-08-04,490815.892869674,7523.57155306038,443.11279781223,2165.51461787368,60.7889052398003,14.9967771482652,491510.956276373,7309.76888668538,320.732220869045,1806.30265900105,60.3322404776652,13.7925948323059,491182.817325073,7412.06643353279,377.310360723645,1975.72553982483,60.5519273250698,14.3666976632205
2020-08-05,490587.698207492,7720.47137332727,448.424850908917,2192.31195864189,61.9111651774987,14.8894741492782,491351.195656322,7472.96942834281,320.24763908034,1804.09212958063,61.3585120419691,13.5371070464488,490991.727816555,7591.13446573984,379.257756418179,1986.57763485694,61.6238990435622,14.1801107579557
2020-08-06,490356.793189331,7919.78885236596,453.780364790883,2219.35363378922,63.0266782173719,14.8164334705243,491191.684888276,7635.95597472869,319.756989032735,1801.83868533894,62.366717236209,13.3109369678788,490799.667328001,7771.16965230133,381.202963173746,1997.4264321548,62.6830537583806,14.0247680332569
2020-08-07,490123.156229287,8121.54772558481,459.179221661312,2246.63937073423,64.1378655224112,14.7736799602508,491032.427523454,7798.72619632991,319.259866396873,1799.5430086263,63.3589202019496,13.1104849831486,490606.63742582,7952.17325790366,383.145606915042,2008.27107389465,63.7315925127266,13.8968661279988
2020-08-08,489886.765866927,8325.77149846465,464.621251173032,2274.16885042209,65.2468681976451,14.7577217574029,490873.427057888,7961.27763095399,318.756068581395,1797.20558368664,64.3369315064785,12.9325897719186,490412.639768717,8134.14627115262,385.085387778268,2019.11061712491,64.7714483762543,13.7930635944828
2020-08-09,489647.600774371,8532.48346627293,470.106245459799,2301.94169023729,66.3555813363539,14.7654914618245,490714.686945659,8123.60769277844,318.245505286703,1794.82678624304,65.3023390155744,12.7744748782815,490217.676113905,8317.08942222947,387.022046167833,2029.94406748573,65.8043189846665,13.7104246609146
2020-08-10,489405.639764744,8741.70672956629,475.633967198143,2329.95743370532,67.4656839212876,14.7942944498515,490556.210606146,8285.71368475148,317.728148816939,1792.40693323939,66.2565350044805,12.6337018338585,490021.74832085,8501.00319995558,388.955344043244,2040.77039787526,66.8316951182269,13.6463698542843
2020-08-11,489160.861801486,8953.46420630562,481.204153850733,2358.21554391155,68.5786650844508,14.841763470144,490398.001427939,8447.5928119721,317.204006475282,1789.94631044955,67.2007399676525,12.508129012197,489824.85835365,8685.88786759709,390.885054609539,2051.58855881224,67.8548858021251,13.5986326403135
2020-08-12,488913.246008197,9167.77864115589,486.816519818114,2386.71539895452,69.6958471679897,14.9058187580318,490240.062770907,8609.24219483904,316.673105225485,1787.44518779231,68.1360235304939,12.395875504266,489627.008282654,8871.74347715539,392.810956644877,2062.39748421906,68.8750403523881,13.5652213436873
2020-08-13,488662.771678874,9384.67261239053,492.470757445291,2415.45628851232,70.8184059750117,14.9846329983143,490082.397967241,8770.65888139013,316.135483166894,1784.90382781664,69.0633228165068,12.2952893970366,489428.200285646,9058.56988210338,394.732831387207,2073.19609468021,69.8931677392198,13.5443857036016
2020-08-14,488409.418288446,9604.16853672364,498.166537402058,2444.43741101771,71.9473885519388,15.0766005474208,489925.010321939,8931.83985859352,315.59118479421,1782.3224903928,69.9834585798831,12.2049199155401,489228.436648788,9246.36674863412,396.650460833456,2083.9832993098,70.9101535942625,13.5345874993185
2020-08-15,488153.16550355,9826.28867232904,503.903508721654,2473.65787116656,73.0837288024816,15.1803103971945,489767.903112966,9092.7820625305,315.040258359649,1779.70143529551,70.8971493756218,12.1234929562231,489027.719767419,9435.13356553586,398.563626818588,2094.75799685402,71.9267751484776,13.5344747498506
2020-08-16,487893.993193525,10051.0551202603,509.68129865391,2503.11667760931,74.2282611968394,15.2945224253799,489611.079591257,9253.4823875004,314.482754402968,1777.04092361592,71.8050240060373,12.0498895978494,488826.052146758,9624.86965282484,400.472110525436,2105.51907637369,72.9437143524231,13.5428590525807
2020-08-17,487631.881441614,10278.4898244524,515.499512418723,2532.81274074406,75.3817328076796,15.4181465331374,489454.542980617,9413.9376941203,313.918724930265,1774.34121852271,72.7076324533963,11.9831272270792,488623.436402555,9815.57416926819,402.375692232694,2116.26541769741,73.9615694000565,13.5586956787637
2020-08-18,487366.810556348,10508.6145704594,521.357732907104,2562.74487056752,76.5448138762901,15.5502243184805,489298.296477575,9574.14481650924,313.348222953171,1771.60258566144,73.605455482872,11.9223429603022,488419.8752617,10007.2461189225,404.274151194756,2126.99589175056,74.9808648502779,13.5810660904382
2020-08-19,487098.761083115,10741.4509830632,527.255520355951,2592.91177456082,77.7181070875605,15.6899129772092,489142.343251216,9734.10056864976,312.771302228251,1768.82529335273,74.4989130775764,11.866779082201,488215.371562792,10199.8843568037,406.16726559475,2137.70936081808,76.0020605167998,13.6091625841458
2020-08-20,486827.713815909,10977.0205228675,533.192412011109,2623.31205559837,78.9021557107218,15.8364711604183,488986.686442996,9893.80175001639,312.188017107612,1766.00961267855,75.388371847744,11.8157702556218,488009.928256684,10393.4875937935,408.054812538383,2148.40467877305,77.0255592761754,13.6422748027224
2020-08-21,486553.649809254,11215.3444819821,539.167921786951,2653.94420987454,80.0974507436845,15.9892465506051,488831.329166557,10053.2451505542,311.598422451297,1763.15581750614,76.2741515388547,11.7687322872269,487803.548407007,10588.0544008739,409.936568070735,2159.08069128882,78.0517139255888,13.6797778879174
2020-08-22,486276.550390288,11456.4439788842,545.181539927239,2684.80662484618,81.3044371820523,16.1476649473462,488676.274507543,10212.4275550826,311.002573573977,1760.26418447719,77.1565307482964,11.7251522596566,487596.235190656,10783.5832127751,411.812307206122,2169.73623604439,79.0808332060049,13.7211220742479
2020-08-23,485996.397171022,11700.3399525372,551.232732670137,2715.89757719088,82.5235195191584,16.311220678937,488521.525523412,10371.3457471922,310.40052621071,1757.33499297754,78.0357519468389,11.6845798639593,487387.991898263,10980.0723311091,413.681803965596,2180.3701429284,80.1131870922126,13.765823548779
2020-08-24,485713.172060752,11947.0531558351,557.320941919204,2747.21523078223,83.7550665705427,16.479468178722,488367.085243259,10529.9965126949,309.792336493278,1754.368525096,78.9120258894761,11.6466197862851,487178.82193464,11177.5199270529,415.544831419056,2190.98123424469,81.1490114389457,13.8134564228468
2020-08-25,485426.857278629,12196.6041484351,563.445584921648,2778.75763468369,84.9994157049191,16.652014584461,488212.956667637,10688.3766426798,309.178060932385,1751.36506557683,79.7855354899108,11.6109250205972,486968.728819199,11375.9240436407,417.401161730309,2201.56832492113,82.1885120614188,13.8636456804748
2020-08-26,485137.435366383,12449.0132890307,569.606053954807,2810.52272116323,86.2568765537086,16.8285132363079,488059.142768389,10846.4829362228,308.557756403133,1748.32490176887,80.6564392239174,11.5771909947622,486757.716186347,11575.2825977128,419.250566204157,2212.1302227225,83.2318683190854,13.9160609846845
2020-08-27,484844.889201181,12704.3007271152,575.801716021659,2842.50830373114,87.5277342624457,17.0086579641167,487905.646488481,11004.3122027908,307.931480132284,1745.24832357241,81.524874118888,11.5451504110788,486545.78778585,11775.5933815683,421.092815334989,2222.66572846792,84.2792362630573,13.9704112373527
2020-08-28,484549.202008642,12962.4863942767,582.031912556104,2874.71207520335,88.8122523396661,17.1921780680825,487752.470741837,11161.8612643769,307.29928968654,1742.13562338491,82.3909583798903,11.5145687143439,486332.947483185,11976.8540643578,422.927678856592,2233.17363625318,85.3307514002725,14.0264398009606
2020-08-29,484250.357375972,13223.5899950636,588.295959138678,2907.13160579309,90.1106751521231,17.3788339084034,487599.618413191,11319.1269573982,306.661242961372,1738.98709604589,83.2547936964512,11.4852401111223,486119.199259846,12179.0621932523,424.754925793014,2243.65273367798,86.3865311210433,14.0839203017291
2020-08-30,483948.339265232,13487.6309974534,594.593145223384,2939.76434123353,91.4232301092376,17.5684130299093,487447.092357928,11476.106134386,306.017398170157,1735.80303878135,84.1164672688951,11.4569840731744,485904.547213644,12382.2151944184,426.574324510381,2254.10180207814,87.4466768309409,14.1426529434256
2020-08-31,483643.132026732,13754.628622956,600.922733876287,2972.60760093412,92.7501295744729,17.7607267566091,487294.895401942,11632.7956654909,305.367813833496,1732.58375114776,84.9760535883478,11.4296422661498,485688.995558962,12586.310373825,428.385642769602,2264.51961676285,88.5112758229961,14.2024612697307
2020-09-01,483334.720412536,14024.6018363786,607.283961526531,3005.65857617366,94.0915725367394,17.9556071990286,487143.030341497,11789.1924398263,304.712548768622,1729.32953497585,85.833616000365,11.403075851819,485472.548626998,12791.3449179066,430.188647779934,2274.90494725691,89.5804029218154,14.2631893206075
